,AXISBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
AXISBANK.NS,1.0,0.5164781785248692,0.23481488207010406,0.601172712004294,0.2543206264382249,0.28693048863654125,0.37105363984531464,0.1664652696936198,0.5466510640481416,0.14451315280828178
HDFCBANK.NS,0.5164781785248692,1.0,0.279037401723935,0.5670848178527497,0.3070647221798365,0.34117864473566517,0.3777521957368204,0.1834987218221171,0.4872294364124333,0.1682951365730647
HINDUNILVR.NS,0.23481488207010406,0.279037401723935,1.0,0.2625756721870187,0.2285601249326975,0.33723659956688556,0.19547775563779485,0.11563432208547607,0.24125318530830683,0.1394830704154386
ICICIBANK.NS,0.601172712004294,0.5670848178527497,0.2625756721870187,1.0,0.3129160287029413,0.3270847340770775,0.4283632182007561,0.2508643697332933,0.6234698792743989,0.19917413953355625
INFY.NS,0.2543206264382249,0.3070647221798365,0.2285601249326975,0.3129160287029413,1.0,0.2207159233848287,0.24486281765938261,0.1307942718218524,0.2529545854409951,0.2997071656405485
ITC.NS,0.28693048863654125,0.34117864473566517,0.33723659956688556,0.3270847340770775,0.2207159233848287,1.0,0.25507876531061013,0.15118533105144974,0.3355390488242483,0.14303689122585725
LT.NS,0.37105363984531464,0.3777521957368204,0.19547775563779485,0.4283632182007561,0.24486281765938261,0.25507876531061013,1.0,0.14432567607543353,0.4187607887279511,0.12309228993265176
RELIANCE.NS,0.1664652696936198,0.1834987218221171,0.11563432208547607,0.2508643697332933,0.1307942718218524,0.15118533105144974,0.14432567607543353,1.0,0.183935335159306,0.4481515945407789
SBIN.NS,0.5466510640481416,0.4872294364124333,0.24125318530830683,0.6234698792743989,0.2529545854409951,0.3355390488242483,0.4187607887279511,0.183935335159306,1.0,0.14968561740094674
TCS.NS,0.14451315280828178,0.1682951365730647,0.1394830704154386,0.19917413953355625,0.2997071656405485,0.14303689122585725,0.12309228993265176,0.4481515945407789,0.14968561740094674,1.0
