,AXISBANK.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
AXISBANK.NS,1.0,0.49933661337713553,0.21755825453719638,0.5562228222604878,0.10192727898955255,0.20770127239767397,0.10850066779496408,0.1409393621170244,0.41972960375174106,0.05748284783444397
HDFCBANK.NS,0.49933661337713553,1.0,0.20458111071254204,0.4777198056435067,0.15255551206641113,0.25978643681257324,0.17856688521276995,0.16179230757642132,0.3607622848207637,0.14654708990092555
HINDUNILVR.NS,0.21755825453719638,0.20458111071254204,1.0,0.10139400745871278,0.06515522243078342,0.29476515817716603,0.07091016804016152,0.036777048681975226,0.1342616628651099,0.06511793682650584
ICICIBANK.NS,0.5562228222604878,0.4777198056435067,0.10139400745871278,1.0,0.07461514592212448,0.1214614712482307,0.12020685133544823,0.25775522458543,0.3820417221220124,0.18864151884186176
INFY.NS,0.10192727898955255,0.15255551206641113,0.06515522243078342,0.07461514592212448,1.0,0.06264513979115299,0.020433724450379654,0.014342560036249426,0.036254216339385734,0.2295780824376313
ITC.NS,0.20770127239767397,0.25978643681257324,0.29476515817716603,0.1214614712482307,0.06264513979115299,1.0,0.12204220292274508,0.1304586316204648,0.24257925229740684,0.14513074077009072
LT.NS,0.10850066779496408,0.17856688521276995,0.07091016804016152,0.12020685133544823,0.020433724450379654,0.12204220292274508,1.0,0.023459376992146178,0.13204691568421995,-0.022046329214771947
RELIANCE.NS,0.1409393621170244,0.16179230757642132,0.036777048681975226,0.25775522458543,0.014342560036249426,0.1304586316204648,0.023459376992146178,1.0,0.022770614117799032,0.7462368225857027
SBIN.NS,0.41972960375174106,0.3607622848207637,0.1342616628651099,0.3820417221220124,0.036254216339385734,0.24257925229740684,0.13204691568421995,0.022770614117799032,1.0,-0.01421600396998495
TCS.NS,0.05748284783444397,0.14654708990092555,0.06511793682650584,0.18864151884186176,0.2295780824376313,0.14513074077009072,-0.022046329214771947,0.7462368225857027,-0.01421600396998495,1.0
